XP_004340462.2	Hcv1.av93.c2.g1172.i1
XP_004341905.1	Hcv1.av93.c6.g874.i1
XP_004341958.1	Hcv1.av93.c4.g345.i1
XP_004341959.2	Hcv1.av93.c2.g820.i1
XP_004342384.2	Hcv1.av93.c10.g568.i2
XP_004342413.1	Hcv1.av93.c8.g538.i1
XP_004342415.2	Hcv1.av93.c13.g139.i2
XP_004342418.2	Hcv1.av93.c11.g345.i1
XP_004342421.1	Hcv1.av93.c5.g1023.i1
XP_004342422.1	Hcv1.av93.c4.g876.i1
XP_004342431.1	Hcv1.av93.c12.g87.i1
XP_004342441.1	Hcv1.av93.c7.g954.i5
XP_004342442.1	Hcv1.av93.c12.g439.i1
XP_004342459.1	Hcv1.av93.c2.g1456.i2
XP_004342462.2	Hcv1.av93.c3.g1178.i1
XP_004342465.2	Hcv1.av93.c6.g640.i1
XP_004342469.1	Hcv1.av93.c5.g449.i1
XP_004342470.1	Hcv1.av93.c8.g492.i1
XP_004342471.2	Hcv1.av93.c13.g85.i3
XP_004342472.1	Hcv1.av93.c1.g222.i1
XP_004342474.2	Hcv1.av93.c11.g719.i1
XP_004342477.2	Hcv1.av93.c2.g539.i1
XP_004342481.1	Hcv1.av93.c1.g852.i1
XP_004342483.1	Hcv1.av93.c7.g218.i1
XP_004342487.1	Hcv1.av93.c9.g62.i1
XP_004342488.1	Hcv1.av93.c2.g928.i1
XP_004342489.2	Hcv1.av93.c2.g1373.i1
XP_004342490.1	Hcv1.av93.c3.g318.i1
XP_004342492.2	Hcv1.av93.c7.g372.i1
XP_004342494.2	Hcv1.av93.c7.g50.i1
XP_004342585.1	Hcv1.av93.c11.g442.i1
XP_004342591.2	Hcv1.av93.c7.g609.i1
XP_004342592.1	Hcv1.av93.c6.g782.i1
XP_004342593.2	Hcv1.av93.c1.g1534.i1
XP_004342596.1	Hcv1.av93.c11.g863.i1
XP_004342599.1	Hcv1.av93.c5.g491.i1
XP_004342600.1	Hcv1.av93.c7.g538.i1
XP_004342610.2	Hcv1.av93.c3.g1195.i1
XP_004342613.1	Hcv1.av93.c6.g303.i1
XP_004342614.1	Hcv1.av93.c7.g324.i1
XP_004342616.1	Hcv1.av93.c1.g983.i1
XP_004342620.1	Hcv1.av93.c6.g157.i1
XP_004342623.1	Hcv1.av93.c11.g52.i1
XP_004342624.1	Hcv1.av93.c2.g198.i1
XP_004342625.2	Hcv1.av93.c3.g298.i1
XP_004342627.1	Hcv1.av93.c2.g430.i1
XP_004342631.1	Hcv1.av93.c2.g704.i1
XP_004342635.1	Hcv1.av93.c2.g870.i1
XP_004342638.1	Hcv1.av93.c7.g837.i1
XP_004342639.2	Hcv1.av93.c13.g141.i1
XP_004342642.2	Hcv1.av93.c2.g792.i1
XP_004342647.1	Hcv1.av93.c13.g359.i3
XP_004342648.1	Hcv1.av93.c6.g304.i1
XP_004342653.1	Hcv1.av93.c2.g1623.i1
XP_004342654.2	Hcv1.av93.c11.g415.i1
XP_004342655.2	Hcv1.av93.c13.g77.i1
XP_004342657.1	Hcv1.av93.c2.g288.i1
XP_004342658.1	Hcv1.av93.c9.g429.i1
XP_004342661.1	Hcv1.av93.c6.g1237.i1
XP_004342662.1	Hcv1.av93.c9.g103.i1
XP_004342665.1	Hcv1.av93.c6.g661.i1
XP_004342666.2	Hcv1.av93.c1.g758.i1
XP_004342667.1	Hcv1.av93.c6.g121.i1
XP_004342668.2	Hcv1.av93.c1.g123.i1
XP_004342670.2	Hcv1.av93.c2.g1080.i2
XP_004342672.1	Hcv1.av93.c11.g339.i1
XP_004342673.2	Hcv1.av93.c1.g1168.i1
XP_004342675.1	Hcv1.av93.c9.g137.i1
XP_004342688.1	Hcv1.av93.c6.g851.i1
XP_004342691.1	Hcv1.av93.c10.g456.i1
XP_004342692.1	Hcv1.av93.c5.g366.i1
XP_004342695.1	Hcv1.av93.c2.g1095.i1
XP_004342697.1	Hcv1.av93.c7.g730.i1
XP_004342698.1	Hcv1.av93.c6.g754.i1
XP_004342701.2	Hcv1.av93.c8.g515.i1
XP_004342702.1	Hcv1.av93.c12.g464.i1
XP_004342708.1	Hcv1.av93.c9.g180.i1
XP_004342711.1	Hcv1.av93.c6.g936.i1
XP_004342712.1	Hcv1.av93.c12.g174.i1
XP_004342713.1	Hcv1.av93.c2.g950.i1
XP_004342714.1	Hcv1.av93.c3.g1277.i1
XP_004342719.2	Hcv1.av93.c10.g58.i1
XP_004342723.2	Hcv1.av93.c10.g46.i1
XP_004342725.1	Hcv1.av93.c6.g961.i1
XP_004342732.1	Hcv1.av93.c11.g632.i1
XP_004342734.1	Hcv1.av93.c6.g879.i1
XP_004342735.1	Hcv1.av93.c4.g79.i2
XP_004342737.1	Hcv1.av93.c1.g236.i1
XP_004342740.2	Hcv1.av93.c8.g105.i1
XP_004342741.1	Hcv1.av93.c3.g535.i1
XP_004342742.1	Hcv1.av93.c5.g1024.i1
XP_004342744.1	Hcv1.av93.c3.g304.i1
XP_004342748.2	Hcv1.av93.c10.g331.i1
XP_004342753.1	Hcv1.av93.c6.g671.i1
XP_004342754.1	Hcv1.av93.c6.g525.i1
XP_004342757.1	Hcv1.av93.c4.g95.i2
