XP_004987452.1	Em0001g23a
XP_004987458.1	Em0007g24a
XP_004987461.1	Em0019g988a
XP_004987464.1	Em0016g1104a
XP_004987466.1	Em0005g1632a
XP_004987483.1	Em0019g703a
XP_004987491.1	Em0011g416a
XP_004987502.1	Em0014g768a
XP_004987510.1	Em0019g931a
XP_004987516.1	Em0017g281a
XP_004987527.1	Em0023g315a
XP_004987537.1	Em0009g451a
XP_004987538.1	Em0021g880a
XP_004987541.1	Em0011g88a
XP_004987551.1	Em0015g666a
XP_004987555.1	Em0016g1182a
XP_004987563.1	Em0001g1024a
XP_004987564.1	Em0019g238a
XP_004987568.1	Em0001g3335a
XP_004987587.1	Em0012g967a
XP_004987592.1	Em0015g309a
XP_004987604.1	Em0001g1910a
XP_004987615.1	Em0011g536a
XP_004987624.1	Em0011g1069a
XP_004987625.1	Em0145g8a
XP_004987628.1	Em0022g728a
XP_004987633.1	Em0015g988a
XP_004987637.1	Em0019g143a
XP_004987649.1	Em0011g556a
XP_004987652.1	Em0018g767a
XP_004987655.1	Em0007g593a
XP_004987658.1	Em0655g2a
XP_004987660.1	Em0013g192a
XP_004987668.1	Em0016g246a
XP_004987670.1	Em0019g615a
XP_004987672.1	Em0019g540a
XP_004987675.1	Em0016g994a
XP_004987676.1	Em0016g1164a
XP_004987680.1	Em0016g900a
XP_004987688.1	Em0010g122a
XP_004987690.1	Em0018g1094a
XP_004987692.1	Em0440g5a
XP_004987694.1	Em0003g457a
XP_004987695.1	Em0009g1282a
XP_004987696.1	Em0013g848a
XP_004987698.1	Em0016g1000a
XP_004987700.1	Em0003g1526a
XP_004987708.1	Em0003g394a
XP_004987710.1	Em0016g82a
XP_004987711.1	Em0022g117a
XP_004987712.1	Em0003g385a
XP_004987713.1	Em0019g272a
XP_004987724.1	Em0017g105a
XP_004987728.1	Em0002g38a
XP_004987729.1	Em0014g172a
XP_004987745.1	Em0019g595a
XP_004987753.1	Em0018g768a
XP_004987758.1	Em0012g1080a
XP_004987761.1	Em0044g24a
XP_004987769.1	Em0005g1598a
XP_004987770.1	Em0013g824a
XP_004987783.1	Em0019g184a
XP_004987785.1	Em0011g648a
XP_004987786.1	Em0015g980a
XP_004987809.1	Em0137g13a
XP_004987811.1	Em0017g939a
XP_004987815.1	Em0009g1312a
XP_004987817.1	Em0003g817a
XP_004987818.1	Em0202g9a
XP_004987820.1	Em0021g685a
XP_004987822.1	Em0004g634a
XP_004987824.1	Em0022g764a
XP_004987826.1	Em0009g1065a
XP_004987827.1	Em0011g1158a
XP_004987828.1	Em0008g1071a
XP_004987829.1	Em0001g846a
XP_004987830.1	Em0158g4a
XP_004987831.1	Em0010g408a
XP_004987834.1	Em0016g21a
XP_004987837.1	Em0020g1024a
XP_004987840.1	Em0001g2143a
XP_004987843.1	Em0014g173a
XP_004987845.1	Em0008g1227a
XP_004987846.1	Em0021g635a
XP_004987865.1	Em0021g252a
XP_004987868.1	Em0018g363a
XP_004987869.1	Em0012g664a
XP_004987870.1	Em0026g44a
XP_004987871.1	Em0008g1212a
XP_004987874.1	Em0020g793a
XP_004987875.1	Em0021g562a
XP_004987876.1	Em0004g27a
XP_004987878.1	Em0013g432a
XP_004987879.1	Em0013g722a
XP_004987881.1	Em0010g1008a
XP_004987886.1	Em0016g263a
XP_004987887.1	Em0010g910a
XP_004987888.1	Em0022g173a
XP_004987895.1	Em0001g3608a
XP_004987897.1	Em0018g496a
XP_004987898.1	Em0011g182a
XP_004987899.1	Em0324g6a
XP_004987900.1	Em0002g37a
XP_004987906.1	Em0029g43a
XP_004987907.1	Em0022g732a
XP_004987911.1	Em0021g987a
XP_004987915.1	Em0010g886a
XP_004987917.1	Em0017g591a
XP_004987918.1	Em0001g699a
XP_004987919.1	Em0010g802a
XP_004987922.1	Em0019g58a
XP_004987926.1	Em0018g500a
XP_004987927.1	Em0017g595a
XP_004987930.1	Em0010g940a
XP_004987938.1	Em0015g614a
XP_004987939.1	Em0786g11a
XP_004987940.1	Em0011g235a
XP_004987944.1	Em0001g1021a
XP_004987947.1	Em0015g306a
XP_004987948.1	Em0018g428a
XP_004987951.1	Em0010g68a
XP_004987953.1	Em0016g347a
XP_004987954.1	Em0004g354a
XP_004987955.1	Em0004g959a
XP_004987956.1	Em0010g1029a
XP_004987965.1	Em0002g32a
XP_004987971.1	Em0006g1365a
XP_004987973.1	Em0016g1106a
XP_004987978.1	Em0023g809a
XP_004987979.1	Em0022g249a
XP_004987980.1	Em0023g748a
XP_004987982.1	Em0004g157a
XP_004987985.1	Em0015g1257a
XP_004987989.1	Em0016g346a
XP_004987993.1	Em0012g933a
XP_004987995.1	Em0020g835a
XP_004987996.1	Em0001g2644a
XP_004987998.1	Em0015g799a
XP_004987999.1	Em0015g1219a
XP_004988000.1	Em0015g828a
XP_004988002.1	Em0005g1652a
XP_004988004.1	Em0015g615a
XP_004988007.1	Em0015g1050a
XP_004988009.1	Em0011g1024a
XP_004988010.1	Em0021g342a
XP_004988017.1	Em0017g506a
XP_004988019.1	Em0009g1166a
XP_004988024.1	Em0020g1103a
XP_004988025.1	Em0016g579a
XP_004988026.1	Em0015g905a
XP_004988029.1	Em0019g764a
XP_004988031.1	Em0011g453a
XP_004988034.1	Em0013g115a
XP_004988036.1	Em0137g14a
XP_004988037.1	Em0015g982a
XP_004988048.1	Em0008g30a
XP_004988054.1	Em0019g1149a
XP_004988067.1	Em0023g892a
XP_004988069.1	Em0001g1226a
XP_004988085.1	Em0016g383a
XP_004988086.1	Em0013g747a
XP_004988095.1	Em0017g653a
XP_004988098.1	Em0002g757a
XP_004988104.1	Em0010g67a
XP_004988105.1	Em0003g1428a
XP_004988129.1	Em0018g387a
XP_004988130.1	Em0023g891a
XP_004988132.1	Em0014g48a
XP_004988148.1	Em0014g156a
XP_004988149.1	Em0008g1130a
XP_004988150.1	Em0012g855a
XP_004988160.1	Em0018g1064a
XP_004988161.1	Em0021g626a
XP_004988163.1	Em0429g1a
XP_004988172.1	Em0009g1265a
XP_004988202.1	Em0022g318a
XP_004988204.1	Em0020g1014a
XP_004988210.1	Em0023g312a
XP_004988211.1	Em0011g483a
XP_004988214.1	Em0009g1215a
XP_004988219.1	Em0023g243a
XP_004988220.1	Em0009g1240a
XP_004988222.1	Em0003g1359a
XP_004988224.1	Em0009g1007a
XP_004988226.1	Em0005g214a
XP_004988240.1	Em0009g184a
XP_004988241.1	Em0016g1090a
XP_004988256.1	Em0015g867a
XP_004988258.1	Em0015g733a
XP_004988260.1	Em0015g781a
XP_004988264.1	Em0023g63a
XP_004988271.1	Em0013g364a
XP_004988285.1	Em0009g1156a
XP_004988288.1	Em0013g536a
XP_004988289.1	Em0013g190a
XP_004988292.1	Em0013g180a
XP_004988307.1	Em0013g228a
XP_004988310.1	Em0009g436a
XP_004988312.1	Em0013g489a
XP_004988314.1	Em0016g913a
XP_004988315.1	Em0013g48a
XP_004988316.1	Em0013g373a
XP_004988338.1	Em0021g543a
XP_004988346.1	Em0003g1424a
XP_004988352.1	Em0019g104a
XP_004988356.1	Em0023g337a
XP_004988364.1	Em0005g1166a
XP_004988365.1	Em0018g1058a
XP_004988366.1	Em0016g239a
XP_004988374.1	Em0011g22a
XP_004988375.1	Em0015g419a
XP_004988377.1	Em0002g1061a
XP_004988378.1	Em0020g49a
XP_004988381.1	Em0014g581a
XP_004988383.1	Em0009g1125a
XP_004988388.1	Em0018g567a
XP_004988406.1	Em0021g904a
XP_004988411.1	Em0010g372a
XP_004988412.1	Em0023g265a
XP_004988413.1	Em0015g539a
XP_004988423.1	Em0015g516a
XP_004988425.1	Em0020g816a
XP_004988429.1	Em0021g757a
XP_004988431.1	Em0001g1401a
XP_004988433.1	Em0001g1719a
XP_004988438.1	Em0016g225a
XP_004988440.1	Em0020g1067a
XP_004988442.1	Em0008g29a
XP_004988446.1	Em0008g1025a
XP_004988447.1	Em0002g46a
XP_004988450.1	Em0009g32a
XP_004988459.1	Em0014g170a
XP_004988465.1	Em0020g314a
XP_004988466.1	Em0016g520a
XP_004988467.1	Em0013g1118a
XP_004988476.1	Em0011g82a
XP_004988479.1	Em0017g33a
XP_004988481.1	Em0011g148a
XP_004988485.1	Em0021g772a
XP_004988489.1	Em0005g1442a
XP_004988490.1	Em0022g441a
XP_004988492.1	Em0008g735a
XP_004988498.1	Em0011g149a
XP_004988508.1	Em0019g560a
XP_004988511.1	Em0001g1477a
XP_004988517.1	Em0009g1046a
XP_004988521.1	Em0013g279a
XP_004988524.1	Em0016g156a
XP_004988528.1	Em0013g193a
XP_004988536.1	Em0009g979a
XP_004988537.1	Em0020g639a
XP_004988539.1	Em0008g1029a
XP_004988544.1	Em0011g36a
XP_004988545.1	g32989.t1
XP_004988547.1	Em0001g18a
XP_004988551.1	Em0011g517a
XP_004988553.1	Em0114g8a
XP_004988558.1	Em0004g38a
XP_004988559.1	Em0020g1023a
XP_004988560.1	Em0010g930a
XP_004988564.1	Em0011g976a
XP_004988565.1	Em0020g922a
XP_004988568.1	Em0023g82a
XP_004988574.1	Em0012g364a
XP_004988576.1	Em0011g18a
XP_004988579.1	Em0202g6a
XP_004988584.1	Em0022g510a
XP_004988594.1	Em0163g3a
XP_004988595.1	Em0001g3297a
XP_004988603.1	Em0021g593a
XP_004988609.1	Em0019g187a
XP_004988627.1	Em0015g289a
