XP_004987445.1	mRNA.RE02957
XP_004987452.1	mRNA.RE10491
XP_004987461.1	mRNA.RE05028
XP_004987463.1	mRNA.RE15656
XP_004987464.1	mRNA.RE02414
XP_004987466.1	mRNA.RE12309
XP_004987489.1	mRNA.RE10266
XP_004987491.1	mRNA.RE06525
XP_004987502.1	mRNA.RE15297
XP_004987510.1	mRNA.RE07005
XP_004987516.1	mRNA.RE14546
XP_004987527.1	mRNA.RE03039
XP_004987537.1	mRNA.RE04551
XP_004987538.1	mRNA.RE06178
XP_004987541.1	mRNA.RE11785
XP_004987551.1	mRNA.RE09814
XP_004987555.1	mRNA.RE02638
XP_004987559.1	mRNA.RE16009
XP_004987564.1	mRNA.RE16931
XP_004987573.1	mRNA.RE08351
XP_004987587.1	mRNA.RE16598
XP_004987603.1	mRNA.RE14383
XP_004987604.1	mRNA.RE10384
XP_004987615.1	mRNA.RE11923
XP_004987617.1	mRNA.RE04474
XP_004987624.1	mRNA.RE05506
XP_004987625.1	mRNA.RE04125
XP_004987626.1	mRNA.RE10887
XP_004987628.1	mRNA.RE02118
XP_004987630.1	mRNA.RE12904
XP_004987631.1	mRNA.RE00993
XP_004987637.1	mRNA.RE13151
XP_004987639.1	mRNA.RE06880
XP_004987652.1	mRNA.RE05777
XP_004987653.1	mRNA.RE04804
XP_004987655.1	mRNA.RE15064
XP_004987656.1	mRNA.RE11205
XP_004987658.1	mRNA.RE14422
XP_004987660.1	mRNA.RE13591
XP_004987666.1	mRNA.RE10675
XP_004987668.1	mRNA.RE09427
XP_004987670.1	mRNA.RE04059
XP_004987672.1	mRNA.RE13112
XP_004987675.1	mRNA.RE07462
XP_004987676.1	mRNA.RE02650
XP_004987680.1	mRNA.RE09582
XP_004987683.1	mRNA.RE13115
XP_004987688.1	mRNA.RE00007
XP_004987690.1	mRNA.RE12574
XP_004987692.1	mRNA.RE07995
XP_004987694.1	mRNA.RE00963
XP_004987696.1	mRNA.RE01315
XP_004987698.1	mRNA.RE02737
XP_004987702.1	mRNA.RE03972
XP_004987707.1	mRNA.RE16631
XP_004987708.1	mRNA.RE12928
XP_004987711.1	mRNA.RE14113
XP_004987712.1	mRNA.RE06128
XP_004987729.1	mRNA.RE14489
XP_004987734.1	mRNA.RE15097
XP_004987740.1	mRNA.RE10560
XP_004987744.1	mRNA.RE13354
XP_004987745.1	mRNA.RE13837
XP_004987753.1	mRNA.RE06976
XP_004987758.1	mRNA.RE15332
XP_004987761.1	mRNA.RE01200
XP_004987769.1	mRNA.RE09246
XP_004987770.1	mRNA.RE14156
XP_004987783.1	mRNA.RE10520
XP_004987784.1	mRNA.RE17007
XP_004987785.1	mRNA.RE13536
XP_004987786.1	mRNA.RE16183
XP_004987807.1	mRNA.RE07360
XP_004987809.1	mRNA.RE13869
XP_004987811.1	mRNA.RE02883
XP_004987815.1	mRNA.RE14369
XP_004987818.1	mRNA.RE02609
XP_004987821.1	mRNA.RE12139
XP_004987824.1	mRNA.RE04380
XP_004987826.1	mRNA.RE03234
XP_004987827.1	mRNA.RE06700
XP_004987829.1	mRNA.RE13044
XP_004987830.1	mRNA.RE17075
XP_004987831.1	mRNA.RE06024
XP_004987834.1	mRNA.RE10383
XP_004987835.1	mRNA.RE08829
XP_004987837.1	mRNA.RE06436
XP_004987843.1	mRNA.RE04296
XP_004987845.1	mRNA.RE13850
XP_004987865.1	mRNA.RE03063
XP_004987867.1	mRNA.RE08230
XP_004987868.1	mRNA.RE16597
XP_004987869.1	mRNA.RE14146
