Em0001g1007a	Hcv1.av93.c8.g835.i1
Em0001g1010a	Hcv1.av93.c11.g724.i1
Em0001g1025a	Hcv1.av93.c2.g244.i1
Em0001g1027a	Hcv1.av93.c3.g579.i1
Em0001g1045a	Hcv1.av93.c2.g1037.i1
Em0001g1046a	Hcv1.av93.c8.g394.i1
Em0001g1051a	Hcv1.av93.c13.g652.i1
Em0001g1075a	Hcv1.av93.c2.g819.i1
Em0001g1077a	Hcv1.av93.c8.g680.i1
Em0001g1087a	Hcv1.av93.c3.g136.i1
Em0001g1102a	Hcv1.av93.c2.g508.i1
Em0001g1103a	Hcv1.av93.c8.g587.i1
Em0001g1104a	Hcv1.av93.c13.g558.i1
Em0001g110a	Hcv1.av93.c3.g1167.i1
Em0001g1110a	Hcv1.av93.c1.g1001.i1
Em0001g1112a	Hcv1.av93.c2.g1610.i1
Em0001g1115a	Hcv1.av93.c2.g409.i1
Em0001g1122a	Hcv1.av93.c7.g872.i1
Em0001g1126a	Hcv1.av93.c2.g934.i1
Em0001g1127a	Hcv1.av93.c9.g290.i1
Em0001g1133a	Hcv1.av93.c6.g731.i1
Em0001g1154a	Hcv1.av93.c6.g774.i1
Em0001g1171a	Hcv1.av93.c8.g608.i1
Em0001g1173a	Hcv1.av93.c5.g1212.i1
Em0001g1211a	Hcv1.av93.c8.g86.i1
Em0001g122a	Hcv1.av93.c9.g746.i1
Em0001g1230a	Hcv1.av93.c4.g664.i2
Em0001g1237a	Hcv1.av93.c3.g406.i1
Em0001g1239a	Hcv1.av93.c8.g67.i1
Em0001g1240a	Hcv1.av93.c8.g778.i1
Em0001g1243a	Hcv1.av93.c10.g45.i1
Em0001g1246a	Hcv1.av93.c6.g189.i1
Em0001g1273a	Hcv1.av93.c3.g267.i1
Em0001g1288a	Hcv1.av93.c11.g400.i1
Em0001g1294a	Hcv1.av93.c5.g1061.i1
Em0001g1297a	Hcv1.av93.c1.g430.i1
Em0001g12a	Hcv1.av93.c1.g914.i1
Em0001g1313a	Hcv1.av93.c8.g57.i5
Em0001g1332a	Hcv1.av93.c3.g635.i1
Em0001g1334a	Hcv1.av93.c8.g530.i1
Em0001g1335a	Hcv1.av93.c1.g272.i1
Em0001g1336a	Hcv1.av93.c6.g1037.i1
Em0001g1344a	Hcv1.av93.c2.g1339.i1
Em0001g134a	Hcv1.av93.c3.g328.i2
Em0001g1369a	Hcv1.av93.c2.g360.i1
Em0001g1396a	Hcv1.av93.c11.g110.i2
Em0001g1398a	Hcv1.av93.c3.g166.i1
Em0001g1400a	Hcv1.av93.c8.g708.i1
Em0001g1415a	Hcv1.av93.c8.g913.i1
Em0001g1427a	Hcv1.av93.c7.g249.i1
Em0001g1437a	Hcv1.av93.c8.g307.i1
Em0001g1442a	Hcv1.av93.c5.g520.i1
Em0001g1477a	Hcv1.av93.c9.g381.i1
Em0001g1487a	Hcv1.av93.c5.g748.i1
Em0001g154a	Hcv1.av93.c6.g1268.i1
Em0001g1567a	Hcv1.av93.c3.g450.i1
Em0001g1571a	Hcv1.av93.c1.g518.i1
Em0001g1587a	Hcv1.av93.c8.g525.i1
Em0001g1627a	Hcv1.av93.c8.g223.i1
Em0001g1628a	Hcv1.av93.c8.g507.i1
Em0001g1635a	Hcv1.av93.c3.g709.i1
Em0001g1645a	Hcv1.av93.c4.g13.i2
Em0001g1662a	Hcv1.av93.c10.g414.i1
Em0001g1705a	Hcv1.av93.c9.g857.i1
