XP_004987445.1	Hcv1.av93.c2.g1361.i1
XP_004987466.1	Hcv1.av93.c9.g567.i1
XP_004987489.1	Hcv1.av93.c4.g409.i1
XP_004987491.1	Hcv1.av93.c11.g876.i1
XP_004987502.1	Hcv1.av93.c1.g696.i1
XP_004987510.1	Hcv1.av93.c3.g338.i1
XP_004987516.1	Hcv1.av93.c6.g526.i1
XP_004987527.1	Hcv1.av93.c5.g1277.i1
XP_004987538.1	Hcv1.av93.c6.g1161.i1
XP_004987541.1	Hcv1.av93.c9.g633.i1
XP_004987551.1	Hcv1.av93.c2.g302.i1
XP_004987555.1	Hcv1.av93.c8.g929.i1
XP_004987557.1	Hcv1.av93.c8.g869.i1
XP_004987559.1	Hcv1.av93.c3.g1177.i1
XP_004987564.1	Hcv1.av93.c3.g665.i1
XP_004987587.1	Hcv1.av93.c1.g1229.i1
XP_004987592.1	Hcv1.av93.c5.g948.i1
XP_004987603.1	Hcv1.av93.c9.g241.i1
XP_004987604.1	Hcv1.av93.c6.g1088.i1
XP_004987605.1	Hcv1.av93.c2.g884.i1
XP_004987615.1	Hcv1.av93.c3.g711.i1
XP_004987624.1	Hcv1.av93.c11.g896.i1
XP_004987625.1	Hcv1.av93.c6.g930.i1
XP_004987631.1	Hcv1.av93.c2.g1339.i1
XP_004987637.1	Hcv1.av93.c12.g15.i2
XP_004987639.1	Hcv1.av93.c4.g797.i4
XP_004987642.1	Hcv1.av93.c12.g440.i1
XP_004987649.1	Hcv1.av93.c1.g321.i1
XP_004987652.1	Hcv1.av93.c9.g27.i1
XP_004987653.1	Hcv1.av93.c6.g769.i1
XP_004987655.1	Hcv1.av93.c5.g954.i1
XP_004987656.1	Hcv1.av93.c6.g881.i1
XP_004987668.1	Hcv1.av93.c11.g495.i1
XP_004987670.1	Hcv1.av93.c7.g199.i1
XP_004987672.1	Hcv1.av93.c5.g299.i1
XP_004987675.1	Hcv1.av93.c8.g401.i1
XP_004987676.1	Hcv1.av93.c1.g130.i1
XP_004987680.1	Hcv1.av93.c13.g449.i1
XP_004987688.1	Hcv1.av93.c2.g1366.i1
XP_004987690.1	Hcv1.av93.c10.g86.i2
XP_004987693.1	Hcv1.av93.c7.g53.i1
XP_004987694.1	Hcv1.av93.c7.g980.i1
XP_004987696.1	Hcv1.av93.c6.g261.i1
XP_004987698.1	Hcv1.av93.c7.g9.i1
XP_004987708.1	Hcv1.av93.c4.g535.i4
XP_004987710.1	Hcv1.av93.c9.g90.i2
XP_004987728.1	Hcv1.av93.c2.g856.i1
XP_004987729.1	Hcv1.av93.c8.g384.i1
XP_004987734.1	Hcv1.av93.c4.g648.i1
XP_004987740.1	Hcv1.av93.c6.g1095.i1
XP_004987744.1	Hcv1.av93.c9.g810.i1
XP_004987745.1	Hcv1.av93.c2.g1275.i1
XP_004987758.1	Hcv1.av93.c5.g698.i1
XP_004987761.1	Hcv1.av93.c5.g837.i1
XP_004987770.1	Hcv1.av93.c11.g136.i3
XP_004987783.1	Hcv1.av93.c1.g1460.i1
XP_004987785.1	Hcv1.av93.c6.g1221.i1
XP_004987786.1	Hcv1.av93.c2.g691.i1
XP_004987807.1	Hcv1.av93.c2.g535.i2
XP_004987809.1	Hcv1.av93.c5.g869.i1
XP_004987811.1	Hcv1.av93.c2.g38.i1
