XP_004339904.1	Em0019g582a
XP_004340462.2	Em0019g575a
XP_004340788.1	Em0002g1096a
XP_004341905.1	Em0006g862a
XP_004341958.1	Em0008g45a
XP_004341959.2	Em0168g3a
XP_004342384.2	Em0005g87a
XP_004342413.1	Em0020g696a
XP_004342415.2	Em0041g7a
XP_004342418.2	Em0017g143a
XP_004342419.1	Em0001g407a
XP_004342421.1	Em0016g1009a
XP_004342422.1	Em0003g42a
XP_004342426.2	Em0016g1019a
XP_004342431.1	Em0022g441a
XP_004342442.1	Em0144g1a
XP_004342444.1	Em0016g910a
XP_004342462.2	Em0021g252a
XP_004342463.2	Em0004g412a
XP_004342465.2	Em0011g417a
XP_004342467.1	Em0447g6a
XP_004342469.1	Em0005g671a
XP_004342470.1	Em0011g1165a
XP_004342471.2	Em0004g88a
XP_004342472.1	Em0021g340a
XP_004342474.2	Em0007g40a
XP_004342481.1	Em0012g461a
XP_004342485.2	Em0022g648a
XP_004342486.1	Em0009g1282a
XP_004342487.1	Em0023g717a
XP_004342489.2	Em0005g1146a
XP_004342490.1	Em0011g106a
XP_004342578.2	Em0008g1073a
XP_004342585.1	Em0023g418a
XP_004342590.1	Em0015g80a
XP_004342591.2	Em0023g533a
XP_004342592.1	Em0020g499a
XP_004342599.1	Em0022g368a
XP_004342600.1	Em0020g552a
XP_004342611.2	Em0020g1081a
XP_004342613.1	Em0020g666a
XP_004342614.1	Em0018g287a
XP_004342616.1	Em0020g79a
XP_004342620.1	Em0020g1099a
XP_004342623.1	Em0015g112a
XP_004342625.2	Em0023g324a
XP_004342627.1	Em0020g78a
XP_004342631.1	Em0020g71a
XP_004342635.1	Em0020g665a
XP_004342638.1	Em0019g901a
XP_004342639.2	Em0019g240a
XP_004342640.1	Em0016g154a
XP_004342642.2	Em0020g697a
XP_004342643.1	Em0020g941a
XP_004342647.1	Em0003g191a
XP_004342648.1	Em0020g1010a
XP_004342652.1	Em0002g95a
XP_004342654.2	Em0020g284a
XP_004342655.2	Em0004g157a
XP_004342657.1	Em0011g313a
XP_004342658.1	Em0011g24a
XP_004342661.1	Em0001g529a
XP_004342662.1	Em0011g132a
XP_004342666.2	Em0020g639a
XP_004342667.1	g32971.t1
XP_004342668.2	Em0020g553a
XP_004342670.2	Em0020g599a
XP_004342672.1	Em0020g196a
XP_004342675.1	Em0021g65a
XP_004342678.2	Em0015g954a
XP_004342688.1	Em0020g603a
XP_004342691.1	Em0020g351a
XP_004342692.1	Em0019g1006a
XP_004342694.1	Em0020g365a
XP_004342695.1	Em0022g660a
XP_004342696.2	Em0020g454a
XP_004342697.1	Em0002g758a
XP_004342698.1	Em0020g660a
XP_004342701.2	Em0020g642a
XP_004342708.1	Em0011g133a
XP_004342711.1	Em0020g999a
XP_004342712.1	Em0001g928a
XP_004342713.1	Em0009g1154a
XP_004342714.1	Em0020g921a
XP_004342719.2	Em0020g942a
XP_004342722.2	Em0007g969a
XP_004342723.2	Em0022g272a
XP_004342724.2	Em0020g1029a
XP_004342725.1	Em0020g1050a
XP_004342732.1	Em0398g3a
XP_004342735.1	Em0630g2a
XP_004342737.1	Em0020g883a
XP_004342738.2	Em0020g1054a
XP_004342740.2	Em0019g282a
XP_004342741.1	Em0020g863a
XP_004342742.1	Em0001g3727a
XP_004342748.2	Em0023g574a
XP_004342750.2	Em0020g73a
XP_004342752.1	Em0013g151a
XP_004342753.1	Em0015g1196a
XP_004342754.1	Em0020g133a
XP_004342757.1	Em0005g1624a
XP_004342761.1	Em0005g1662a
XP_004342763.1	Em0020g393a
XP_004342767.2	Em0020g349a
XP_004342768.2	Em0019g119a
XP_004342771.1	Em0023g482a
XP_004342772.1	Em0016g547a
XP_004342773.2	Em0017g199a
XP_004342775.1	Em0013g622a
XP_004342776.2	Em0023g322a
XP_004342780.1	Em0011g56a
XP_004342783.1	Em0021g309a
XP_004342784.1	Em0016g649a
XP_004342785.1	Em0012g285a
XP_004342795.1	Em0012g177a
XP_004342796.1	Em0016g20a
XP_004342797.2	Em0005g1324a
XP_004342829.2	Em0003g1326a
XP_004342835.1	Em0005g1063a
XP_004342840.1	Em0017g422a
XP_004342842.2	Em0021g990a
XP_004342843.2	Em0021g569a
XP_004342845.1	Em0011g876a
XP_004342846.1	Em0018g34a
XP_004342848.1	Em0001g2647a
XP_004342850.1	Em0016g164a
XP_004342851.2	Em0005g1163a
XP_004342854.1	Em0032g39a
XP_004342855.1	Em0004g1010a
XP_004342857.2	Em0016g148a
XP_004342858.1	Em0008g1228a
XP_004342859.2	Em0016g481a
XP_004342866.1	Em0021g906a
XP_004342867.2	Em0015g1030a
XP_004342871.1	Em0005g1281a
XP_004342872.1	Em0023g216a
XP_004342873.1	Em0018g784a
XP_004342874.2	Em0005g1548a
XP_004342875.1	Em0004g70a
XP_004342876.1	Em0014g356a
