XP_004340361.1	mRNA.RE14990
XP_004340462.2	mRNA.RE10614
XP_004340532.1	mRNA.RE04476
XP_004340666.2	mRNA.RE10875
XP_004340769.1	mRNA.RE12719
XP_004341905.1	mRNA.RE09476
XP_004341958.1	mRNA.RE10631
XP_004341959.2	mRNA.RE06458
XP_004342384.2	mRNA.RE09498
XP_004342413.1	mRNA.RE07064
XP_004342415.2	mRNA.RE09706
XP_004342418.2	mRNA.RE10886
XP_004342422.1	mRNA.RE00969
XP_004342424.1	mRNA.RE03901
XP_004342426.2	mRNA.RE02649
XP_004342427.1	mRNA.RE09112
XP_004342430.1	mRNA.RE10587
XP_004342431.1	mRNA.RE14330
XP_004342441.1	mRNA.RE02646
XP_004342442.1	mRNA.RE04043
XP_004342444.1	mRNA.RE04763
XP_004342455.1	mRNA.RE04511
XP_004342462.2	mRNA.RE03063
XP_004342463.2	mRNA.RE11363
XP_004342465.2	mRNA.RE11918
XP_004342469.1	mRNA.RE12346
XP_004342470.1	mRNA.RE06532
XP_004342471.2	mRNA.RE11348
XP_004342472.1	mRNA.RE02257
XP_004342474.2	mRNA.RE13378
XP_004342475.2	mRNA.RE07538
XP_004342477.2	mRNA.RE07347
XP_004342481.1	mRNA.RE02644
XP_004342483.1	mRNA.RE16668
XP_004342487.1	mRNA.RE04082
XP_004342488.1	mRNA.RE16400
XP_004342489.2	mRNA.RE11535
XP_004342490.1	mRNA.RE06547
XP_004342492.2	mRNA.RE10583
XP_004342494.2	mRNA.RE04942
XP_004342585.1	mRNA.RE16947
XP_004342591.2	mRNA.RE04864
XP_004342592.1	mRNA.RE13381
XP_004342593.2	mRNA.RE11231
XP_004342596.1	mRNA.RE05019
XP_004342599.1	mRNA.RE08560
XP_004342600.1	mRNA.RE10943
XP_004342601.1	mRNA.RE14878
XP_004342610.2	mRNA.RE10845
XP_004342611.2	mRNA.RE05050
XP_004342613.1	mRNA.RE10299
XP_004342614.1	mRNA.RE13927
XP_004342616.1	mRNA.RE12784
XP_004342620.1	mRNA.RE13369
XP_004342622.1	mRNA.RE15228
XP_004342623.1	mRNA.RE16248
XP_004342624.1	mRNA.RE12427
XP_004342625.2	mRNA.RE04102
XP_004342627.1	mRNA.RE05927
XP_004342629.1	mRNA.RE13614
XP_004342631.1	mRNA.RE10897
XP_004342635.1	mRNA.RE01399
XP_004342638.1	mRNA.RE13131
XP_004342639.2	mRNA.RE12801
XP_004342640.1	mRNA.RE02733
XP_004342642.2	mRNA.RE15694
XP_004342643.1	mRNA.RE00619
XP_004342647.1	mRNA.RE06544
XP_004342648.1	mRNA.RE13368
XP_004342651.1	mRNA.RE10041
XP_004342652.1	mRNA.RE12039
XP_004342653.1	mRNA.RE05841
