Em0001g1007a	mRNA.RE06677
Em0001g1021a	mRNA.RE12484
Em0001g1025a	mRNA.RE13036
Em0001g1027a	mRNA.RE13546
Em0001g1045a	mRNA.RE03872
Em0001g1046a	mRNA.RE12912
Em0001g1059a	mRNA.RE09467
Em0001g106a	mRNA.RE13065
Em0001g1073a	mRNA.RE13950
Em0001g1075a	mRNA.RE12910
Em0001g1080a	mRNA.RE12854
Em0001g1087a	mRNA.RE08907
Em0001g1088a	mRNA.RE06876
Em0001g1094a	mRNA.RE13008
Em0001g1102a	mRNA.RE04292
Em0001g1103a	mRNA.RE03987
Em0001g1104a	mRNA.RE12968
Em0001g1107a	mRNA.RE12917
Em0001g1110a	mRNA.RE12872
Em0001g1112a	mRNA.RE12866
Em0001g1115a	mRNA.RE05973
Em0001g1122a	mRNA.RE09725
Em0001g1127a	mRNA.RE12934
Em0001g1136a	mRNA.RE04485
Em0001g1140a	mRNA.RE14085
Em0001g1154a	mRNA.RE04892
Em0001g1171a	mRNA.RE12931
Em0001g1210a	mRNA.RE07782
Em0001g1211a	mRNA.RE04513
Em0001g122a	mRNA.RE16821
Em0001g1237a	mRNA.RE04058
Em0001g1239a	mRNA.RE03865
Em0001g1240a	mRNA.RE12921
Em0001g1243a	mRNA.RE06219
Em0001g1246a	mRNA.RE12853
Em0001g124a	mRNA.RE13024
Em0001g1250a	mRNA.RE12925
Em0001g1273a	mRNA.RE03851
Em0001g1288a	mRNA.RE01194
Em0001g1292a	mRNA.RE12983
Em0001g1293a	mRNA.RE12967
Em0001g1294a	mRNA.RE03818
Em0001g1297a	mRNA.RE03997
Em0001g12a	mRNA.RE16967
Em0001g1302a	mRNA.RE03478
Em0001g1316a	mRNA.RE03099
Em0001g1332a	mRNA.RE12920
Em0001g1334a	mRNA.RE13035
Em0001g1336a	mRNA.RE05256
Em0001g1344a	mRNA.RE16774
Em0001g1369a	mRNA.RE02474
Em0001g1391a	mRNA.RE14389
Em0001g1398a	mRNA.RE13662
Em0001g1400a	mRNA.RE03883
Em0001g1415a	mRNA.RE14157
Em0001g1427a	mRNA.RE07836
Em0001g1437a	mRNA.RE12877
Em0001g1442a	mRNA.RE11443
Em0001g1467a	mRNA.RE13266
Em0001g1477a	mRNA.RE04519
Em0001g1487a	mRNA.RE13040
Em0001g152a	mRNA.RE04619
Em0001g154a	mRNA.RE14385
Em0001g1567a	mRNA.RE05255
Em0001g1569a	mRNA.RE03041
Em0001g1587a	mRNA.RE04331
Em0001g1613a	mRNA.RE10899
Em0001g1617a	mRNA.RE03998
Em0001g1627a	mRNA.RE12976
Em0001g1629a	mRNA.RE03059
Em0001g1705a	mRNA.RE04408
Em0001g1706a	mRNA.RE03835
Em0001g1714a	mRNA.RE06190
Em0001g1715a	mRNA.RE09088
Em0001g1733a	mRNA.RE15092
Em0001g1734a	mRNA.RE04509
Em0001g1750a	mRNA.RE13041
Em0001g1754a	mRNA.RE12847
Em0001g1755a	mRNA.RE12850
Em0001g1763a	mRNA.RE14335
Em0001g1766a	mRNA.RE12954
Em0001g1774a	mRNA.RE12955
Em0001g1791a	mRNA.RE12984
Em0001g1822a	mRNA.RE03891
Em0001g1824a	mRNA.RE05274
Em0001g1891a	mRNA.RE12950
Em0001g18a	mRNA.RE01709
Em0001g1910a	mRNA.RE10384
Em0001g1911a	mRNA.RE11194
Em0001g1947a	mRNA.RE10888
Em0001g1953a	mRNA.RE03799
Em0001g1996a	mRNA.RE14827
Em0001g2004a	mRNA.RE12972
Em0001g202a	mRNA.RE09128
Em0001g2068a	mRNA.RE14111
Em0001g2111a	mRNA.RE12970
Em0001g2114a	mRNA.RE03921
Em0001g2115a	mRNA.RE09403
Em0001g2118a	mRNA.RE07557
Em0001g213a	mRNA.RE09590
Em0001g2141a	mRNA.RE04497
Em0001g215a	mRNA.RE12906
Em0001g2184a	mRNA.RE08737
Em0001g2262a	mRNA.RE03812
Em0001g228a	mRNA.RE10643
Em0001g229a	mRNA.RE07211
Em0001g231a	mRNA.RE04483
Em0001g2337a	mRNA.RE17066
Em0001g2346a	mRNA.RE11719
Em0001g234a	mRNA.RE08205
Em0001g235a	mRNA.RE05272
Em0001g2373a	mRNA.RE12880
Em0001g2378a	mRNA.RE02361
Em0001g2388a	mRNA.RE15230
Em0001g2389a	mRNA.RE04517
Em0001g23a	mRNA.RE10491
Em0001g2411a	mRNA.RE03800
Em0001g2416a	mRNA.RE12959
Em0001g2417a	mRNA.RE05266
Em0001g2421a	mRNA.RE15167
Em0001g2422a	mRNA.RE10278
Em0001g2509a	mRNA.RE01299
Em0001g2524a	mRNA.RE03834
Em0001g2525a	mRNA.RE03833
Em0001g2529a	mRNA.RE03840
Em0001g259a	mRNA.RE13192
Em0001g262a	mRNA.RE03887
Em0001g2639a	mRNA.RE14490
Em0001g263a	mRNA.RE03886
Em0001g2641a	mRNA.RE14273
Em0001g2644a	mRNA.RE12960
Em0001g2647a	mRNA.RE12878
Em0001g2648a	mRNA.RE06762
Em0001g264a	mRNA.RE12977
Em0001g2650a	mRNA.RE13216
Em0001g2655a	mRNA.RE06761
Em0001g2657a	mRNA.RE12987
Em0001g2658a	mRNA.RE05743
Em0001g2661a	mRNA.RE05264
Em0001g2662a	mRNA.RE04473
Em0001g2663a	mRNA.RE12855
Em0001g2678a	mRNA.RE07781
Em0001g2704a	mRNA.RE04493
Em0001g2705a	mRNA.RE12586
Em0001g2724a	mRNA.RE16505
Em0001g2763a	mRNA.RE13026
