Hcv1.av93.c1.g1001.i1	mRNA.RE12872
Hcv1.av93.c1.g1004.i1	mRNA.RE04200
Hcv1.av93.c1.g101.i1	mRNA.RE13651
Hcv1.av93.c1.g1011.i1	mRNA.RE10273
Hcv1.av93.c1.g1012.i1	mRNA.RE15042
Hcv1.av93.c1.g1016.i1	mRNA.RE07228
Hcv1.av93.c1.g1017.i1	mRNA.RE09487
Hcv1.av93.c1.g1018.i1	mRNA.RE01643
Hcv1.av93.c1.g1021.i1	mRNA.RE03392
Hcv1.av93.c1.g1022.i1	mRNA.RE09358
Hcv1.av93.c1.g1024.i1	mRNA.RE08024
Hcv1.av93.c1.g1025.i1	mRNA.RE16693
Hcv1.av93.c1.g1026.i1	mRNA.RE13443
Hcv1.av93.c1.g1027.i1	mRNA.RE16004
Hcv1.av93.c1.g1028.i1	mRNA.RE17086
Hcv1.av93.c1.g1029.i1	mRNA.RE06959
Hcv1.av93.c1.g1030.i1	mRNA.RE02832
Hcv1.av93.c1.g1031.i1	mRNA.RE02106
Hcv1.av93.c1.g1032.i1	mRNA.RE01860
Hcv1.av93.c1.g1043.i1	mRNA.RE07138
Hcv1.av93.c1.g1044.i1	mRNA.RE16645
Hcv1.av93.c1.g1045.i1	mRNA.RE14509
Hcv1.av93.c1.g1047.i1	mRNA.RE05015
Hcv1.av93.c1.g1049.i1	mRNA.RE12408
Hcv1.av93.c1.g1050.i2	mRNA.RE16763
Hcv1.av93.c1.g1051.i2	mRNA.RE07847
Hcv1.av93.c1.g1057.i1	mRNA.RE07808
Hcv1.av93.c1.g1058.i1	mRNA.RE11388
Hcv1.av93.c1.g1059.i1	mRNA.RE05383
Hcv1.av93.c1.g1060.i1	mRNA.RE06722
Hcv1.av93.c1.g1061.i1	mRNA.RE04953
Hcv1.av93.c1.g1062.i1	mRNA.RE05702
Hcv1.av93.c1.g1063.i1	mRNA.RE03179
Hcv1.av93.c1.g1067.i3	mRNA.RE01639
Hcv1.av93.c1.g1068.i1	mRNA.RE00986
Hcv1.av93.c1.g1069.i1	mRNA.RE14300
Hcv1.av93.c1.g107.i2	mRNA.RE13382
Hcv1.av93.c1.g1071.i1	mRNA.RE02061
Hcv1.av93.c1.g1073.i1	mRNA.RE00998
Hcv1.av93.c1.g1077.i1	mRNA.RE12972
Hcv1.av93.c1.g1079.i1	mRNA.RE10650
Hcv1.av93.c1.g1080.i1	mRNA.RE15606
Hcv1.av93.c1.g1082.i1	mRNA.RE12332
Hcv1.av93.c1.g1083.i1	mRNA.RE04450
Hcv1.av93.c1.g1084.i1	mRNA.RE10768
Hcv1.av93.c1.g1086.i2	mRNA.RE16631
Hcv1.av93.c1.g1089.i1	mRNA.RE07811
Hcv1.av93.c1.g109.i1	mRNA.RE10496
Hcv1.av93.c1.g1092.i1	mRNA.RE15045
Hcv1.av93.c1.g1093.i1	mRNA.RE12829
